source	store	clip_id	role	bank	flags	context	description	verdict
corpus_calibration	certified_139	corpus_A_0	A	corpus	class_word:glow	… by green overhead lights and a warm orange «glow»	A barefoot woman with long brown hair, wearing a red short-sleeved blouse and black pants, runs forward through a hazy parking garage illuminated by green overhead lights and a warm orange glow	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_A_18	A	corpus	class_word:water	…s on a concrete ledge in front of a body of «water» with a bridge in the background under a clo…	A man with dreadlocks, wearing a light blue denim jacket with "SUPREME N.Y.C." printed on the front over a white hoodie and white pants, sits on a concrete ledge in front of a body of water with a bridge in the background under a cloudy sky	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_A_20	A	corpus	class_word:earth	…brant green coat stands on a mound of brown «earth» under a blue sky with light clouds, looking…	A woman wearing a long, vibrant green coat stands on a mound of brown earth under a blue sky with light clouds, looking upward with her arms slightly outstretched	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_A_58	A	corpus	class_word:glow	…r, illuminating her face with a warm orange «glow»	A woman wearing a black leather jacket stands outdoors at night as a hand lights the cigarette in her mouth with a red lighter, illuminating her face with a warm orange glow	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_A_69	A	corpus	shader_escape:box	A young man sits on a sticker-covered «box» at a busy Japanese crossing	A young man sits on a sticker-covered box at a busy Japanese crossing	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_A_70	A	corpus	class_word:cloud,class_word:giant	…th large eyes that is surrounded by a giant «cloud» of dust | …ure with large eyes that is surrounded by a «giant» cloud of dust	Two men, one in light-colored clothing and the other in dark clothing, are captured mid-stride on a sandy desert ground in front of a massive, wrinkled creature with large eyes that is surrounded by a giant cloud of dust	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_A_78	A	corpus	class_word:set	…a bright red hooded jacket with white text, «set» against a solid grey background with soft l…	A young woman with dark curly hair and glossy lips looks to the side while wearing a bright red hooded jacket with white text, set against a solid grey background with soft lighting	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_A_84	A	corpus	class_word:gas,class_word:glow	…adphones around their neck stands outside a «gas» station at night, looking at a smartphone w… | … open-mouthed expression under a green neon «glow»	An illustrated character with messy purple hair, glasses, and headphones around their neck stands outside a gas station at night, looking at a smartphone with a distressed, open-mouthed expression under a green neon glow	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_A_87	A	corpus	class_word:glow	…wn street at night, illuminated by the warm «glow» of a street lamp overhead with a "CURIOS" s…	A stout, smiling cartoon man wearing a green suit and a small brown hat stands on a leaf-strewn street at night, illuminated by the warm glow of a street lamp overhead with a "CURIOS" shop in the background	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_A_89	A	corpus	class_word:fire	…iles while stirring a large cauldron over a «fire» inside a wooden cabin illuminated by warm c…	A cartoon girl dressed in a black witch hat and robe smiles while stirring a large cauldron over a fire inside a wooden cabin illuminated by warm candlelight	SCENE_CONTENT (keep)
